ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  445000         0.0000         0.0000         0.0000         0.0000          -5742.7027       461.9155         0.0000         0.0000       959.8377          -4320.9494       304.9320     -5280.7871     -4318.7459       294.9592            526.9977       563.3270     22414.5665      -177.8180      -177.7066
ENERGY:  450000         0.0000         0.0000         0.0000         0.0000          -5637.8827       424.7643         0.0000         0.0000       972.5602          -4240.5582       308.9738     -5213.1184     -4237.5249       296.7301            379.6499       413.5276     22663.4710      -218.3746      -218.4121
ENERGY:  455000         0.0000         0.0000         0.0000         0.0000          -5635.6299       473.3827         0.0000         0.0000       922.7913          -4239.4558       293.1627     -5162.2471     -4236.6902       303.2526           1059.5710      1071.3303     22803.2917      -177.4327      -177.5272
ENERGY:  460000         0.0000         0.0000         0.0000         0.0000          -5580.7770       372.1087         0.0000         0.0000       942.2351          -4266.4332       299.3398     -5208.6683     -4265.4707       299.1646           -179.8339      -153.0453     22478.5552      -327.0081      -326.8842
ENERGY:  465000         0.0000         0.0000         0.0000         0.0000          -5655.3794       437.1550         0.0000         0.0000       936.3132          -4281.9112       297.4585     -5218.2244     -4279.8551       293.9819            886.2727       912.5926     22458.2551      -217.2233      -217.2797
ENERGY:  470000         0.0000         0.0000         0.0000         0.0000          -5676.3192       472.8946         0.0000         0.0000       944.7598          -4258.6648       300.1419     -5203.4246     -4256.8281       298.6887            572.4182       587.2036     22713.2054      -153.6240      -153.6246
ENERGY:  475000         0.0000         0.0000         0.0000         0.0000          -5468.6254       339.6564         0.0000         0.0000       933.1346          -4195.8344       296.4487     -5128.9690     -4193.1946       301.1908           -719.2747      -684.7873     22773.2547      -234.1130      -234.0937
ENERGY:  480000         0.0000         0.0000         0.0000         0.0000          -5509.2171       389.3728         0.0000         0.0000       912.0584          -4207.7859       289.7530     -5119.8443     -4206.3768       299.1839              7.6060        16.6873     22791.7069      -244.2052      -244.2992
ENERGY:  485000         0.0000         0.0000         0.0000         0.0000          -5620.2868       382.9545         0.0000         0.0000       965.7894          -4271.5429       306.8228     -5237.3323     -4269.2499       298.1753           -332.0209      -293.0982     22560.6047      -261.8266      -261.7849
ENERGY:  490000         0.0000         0.0000         0.0000         0.0000          -5650.6187       436.2743         0.0000         0.0000       904.8265          -4309.5178       287.4554     -5214.3443     -4309.0377       295.4491            450.2191       484.8600     22525.5038      -282.4307      -282.5244
ENERGY:  495000         0.0000         0.0000         0.0000         0.0000          -5621.0997       406.3760         0.0000         0.0000       948.6631          -4266.0606       301.3819     -5214.7237     -4264.7938       298.0714           -167.9627      -146.1064     22612.3352      -194.9421      -194.9499
ENERGY:  500000         0.0000         0.0000         0.0000         0.0000          -5627.2918       421.8123         0.0000         0.0000       952.3801          -4253.0993       302.5628     -5205.4795     -4250.7093       298.2086            164.9237       197.6050     22738.5939      -220.4565      -220.3488
